Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
62,2026-06-02T19:39:00+05:30,2026-06-03,00:09,1,0,1
67,2026-06-02T19:29:00+05:30,2026-06-02,23:59,3,0,3
72,2026-06-02T19:26:00+05:30,2026-06-02,23:56,0,2,2
72,2026-06-02T19:29:00+05:30,2026-06-02,23:59,0,1,1
72,2026-06-02T19:32:00+05:30,2026-06-03,00:02,0,1,1
76,2026-06-02T19:37:00+05:30,2026-06-03,00:07,0,1,1
79,2026-06-02T19:28:00+05:30,2026-06-02,23:58,2,0,2
79,2026-06-02T19:35:00+05:30,2026-06-03,00:05,2,2,4
109,2026-06-02T19:25:00+05:30,2026-06-02,23:55,5,2,7
109,2026-06-02T19:35:00+05:30,2026-06-03,00:05,1,3,4
117,2026-06-02T19:30:00+05:30,2026-06-03,00:00,0,1,1
142,2026-06-02T19:25:00+05:30,2026-06-02,23:55,0,1,1
161,2026-06-02T19:25:00+05:30,2026-06-02,23:55,1,0,1
161,2026-06-02T19:30:00+05:30,2026-06-03,00:00,1,0,1
161,2026-06-02T19:35:00+05:30,2026-06-03,00:05,1,1,2
164,2026-06-02T19:35:00+05:30,2026-06-03,00:05,4,3,7
187,2026-06-02T19:25:00+05:30,2026-06-02,23:55,0,1,1
211,2026-06-02T19:25:00+05:30,2026-06-02,23:55,1,0,1
211,2026-06-02T19:34:00+05:30,2026-06-03,00:04,1,0,1
211,2026-06-02T19:35:00+05:30,2026-06-03,00:05,0,2,2
212,2026-06-02T19:29:00+05:30,2026-06-02,23:59,0,1,1
212,2026-06-02T19:36:00+05:30,2026-06-03,00:06,0,1,1
212,2026-06-02T19:38:00+05:30,2026-06-03,00:08,1,0,1
212,2026-06-02T19:39:00+05:30,2026-06-03,00:09,1,0,1
3,2026-06-02T19:59:00+05:30,2026-06-03,00:29,0,2,2
3,2026-06-02T20:01:00+05:30,2026-06-03,00:31,0,2,2
3,2026-06-02T20:05:00+05:30,2026-06-03,00:35,8,2,10
4,2026-06-02T19:56:00+05:30,2026-06-03,00:26,1,3,4
4,2026-06-02T19:58:00+05:30,2026-06-03,00:28,2,1,3
4,2026-06-02T19:59:00+05:30,2026-06-03,00:29,0,3,3
4,2026-06-02T20:03:00+05:30,2026-06-03,00:33,1,4,5
4,2026-06-02T20:04:00+05:30,2026-06-03,00:34,0,5,5
4,2026-06-02T20:05:00+05:30,2026-06-03,00:35,1,1,2
31,2026-06-02T20:01:00+05:30,2026-06-03,00:31,1,0,1
36,2026-06-02T20:02:00+05:30,2026-06-03,00:32,0,1,1
40,2026-06-02T20:01:00+05:30,2026-06-03,00:31,1,0,1
41,2026-06-02T19:56:00+05:30,2026-06-03,00:26,2,1,3
41,2026-06-02T20:01:00+05:30,2026-06-03,00:31,5,0,5
41,2026-06-02T20:06:00+05:30,2026-06-03,00:36,2,1,3
41,2026-06-02T20:08:00+05:30,2026-06-03,00:38,2,0,2
42,2026-06-02T19:57:00+05:30,2026-06-03,00:27,0,1,1
42,2026-06-02T20:00:00+05:30,2026-06-03,00:30,0,1,1
42,2026-06-02T20:05:00+05:30,2026-06-03,00:35,1,1,2
42,2026-06-02T20:09:00+05:30,2026-06-03,00:39,0,1,1
43,2026-06-02T20:05:00+05:30,2026-06-03,00:35,4,0,4
44,2026-06-02T19:55:00+05:30,2026-06-03,00:25,3,0,3
44,2026-06-02T20:05:00+05:30,2026-06-03,00:35,3,0,3
45,2026-06-02T20:02:00+05:30,2026-06-03,00:32,1,0,1
